metric,runs,mean,sample_standard_deviation,minimum,maximum
cpu_cores,3,0.8676021014682359,0.06197635610233766,0.8061448289721226,0.9300848155446223
cpu_cores_per_rps,3,0.01730520307036063,0.0006371573257543009,0.01686842294629653,0.01803631801006031
cpu_throttle_ratio,3,0.12106205670250982,0.022893809797657483,0.09817627222363476,0.14396388338809804
error_rate,3,0.0,0.0,0.0,0.0
k6_steady_checks_rate,3,1.0,0.0,1.0,1.0
k6_steady_error_rate,3,0.0,0.0,0.0,0.0
k6_steady_http_requests,3,5865.333333333333,242.04407312168033,5588.0,6034.0
k6_steady_latency_p50_ms,3,19.540041666666667,22.54344090929877,5.807979,45.557563
k6_steady_latency_p95_ms,3,138.5139534,3.8377798309188926,135.28762279999998,142.75802105
k6_steady_latency_p99_ms,3,149.99554653333328,4.845173363290962,146.71832193,155.5610601699999
k6_steady_rps,3,48.87777777777777,2.0170339426806665,46.56666666666667,50.28333333333333
latency_p50_seconds,3,0.004091370927392008,4.9752495551769684e-05,0.0040339366181094665,0.0041212220580281065
latency_p95_seconds,3,0.09779668236764198,0.017760324110560475,0.08500380142898137,0.11807425249125822
latency_p99_seconds,3,0.20202952718775638,0.020549820158640895,0.18411562283057828,0.22446290810558828
memory_bytes_per_rps,3,17954734.94946313,996207.3989892905,17219679.335650314,19088551.94150313
memory_working_set_bytes,3,898187938.5396825,12584015.96485428,887972937.1428572,912245174.8571428
postgres_cache_hit_ratio,3,0.9998961768089839,5.093647284665696e-05,0.9998391107210765,0.9999370435658523
postgres_connections,3,7.333333333333333,1.1547005383792515,6.0,8.0
postgres_locks,3,1.3333333333333333,0.5773502691896257,1.0,2.0
redis_hit_ratio,3,0.0,0.0,0.0,0.0
redis_memory_bytes,3,985210.6666666666,23643.648223853554,971560.0,1012512.0
redis_ops_per_second,3,35.294896301716214,1.1129534233762073,34.01904761904762,36.0663231778745
restarts,3,0.0,0.0,0.0,0.0
rps,3,50.10001141500974,2.024626981008594,47.79017170358015,51.567332923817325
rps_per_tenant,3,16.70000380500325,0.6748756603361981,15.930057234526716,17.189110974605775
running_pods,3,9.0,0.0,9.0,9.0
tenant_count,3,3.0,0.0,3.0,3.0
