metric,timestamp,value,labels
rps,1788984208,51.567332923817325,{}
error_rate,1788984208,0,{}
latency_p50_seconds,1788984208,0.0041189541060384525,{}
latency_p95_seconds,1788984208,0.08500380142898137,{}
latency_p99_seconds,1788984208,0.18411562283057828,{}
cpu_cores,1788984208,0.9300848155446223,{}
memory_working_set_bytes,1788984208,887972937.1428572,{}
running_pods,1788984208,9,{}
restarts,1788984208,0,{}
cpu_throttle_ratio,1788984208,0.09817627222363476,{}
postgres_connections,1788984208,6,{}
postgres_cache_hit_ratio,1788984208,0.9998391107210765,{}
postgres_locks,1788984208,2,{}
redis_memory_bytes,1788984208,971560,{}
redis_ops_per_second,1788984208,36.0663231778745,{}
redis_hit_ratio,1788984208,0,{}
rps_by_tenant,1788984208,18.399649530485135,"{""tenant"": ""blackrock""}"
rps_by_tenant,1788984208,15.790175425229997,"{""tenant"": ""baidu""}"
rps_by_tenant,1788984208,17.377507968102194,"{""tenant"": ""atlassian""}"
error_rate_by_tenant,1788984208,0,"{""tenant"": ""blackrock""}"
error_rate_by_tenant,1788984208,0,"{""tenant"": ""baidu""}"
error_rate_by_tenant,1788984208,0,"{""tenant"": ""atlassian""}"
cpu_cores_by_namespace,1788984208,0.9300848155446223,"{""namespace"": ""hybrid""}"
memory_bytes_by_namespace,1788984208,887972937.1428572,"{""namespace"": ""hybrid""}"
cpu_cores_by_tenant,1788984208,0.30633849565598303,"{""tenant"": ""atlassian""}"
cpu_cores_by_tenant,1788984208,0.30748728397383646,"{""tenant"": ""blackrock""}"
cpu_cores_by_tenant,1788984208,0.27593706306708315,"{""tenant"": ""baidu""}"
memory_bytes_by_tenant,1788984208,60867072,"{""tenant"": ""atlassian""}"
memory_bytes_by_tenant,1788984208,48869961.14285714,"{""tenant"": ""blackrock""}"
memory_bytes_by_tenant,1788984208,55490048,"{""tenant"": ""baidu""}"
resource_requests,1788984208,1.4,"{""resource"": ""cpu"", ""unit"": ""core""}"
resource_requests,1788984208,2147483648,"{""resource"": ""memory"", ""unit"": ""byte""}"
resource_limits,1788984208,3.05,"{""resource"": ""cpu"", ""unit"": ""core""}"
resource_limits,1788984208,4831838208,"{""resource"": ""memory"", ""unit"": ""byte""}"
