metric,runs,mean,sample_standard_deviation,minimum,maximum
cpu_cores,3,1.7609382099042667,0.009922492298586987,1.7528448544509767,1.7720083519858825
cpu_cores_per_rps,3,0.01842310723000876,0.0006542560773376042,0.0178203016864569,0.019118870398161594
cpu_throttle_ratio,3,0.1759241037528374,0.009753588621308675,0.17003036575428407,0.187182433532087
error_rate,3,0.0,0.0,0.0,0.0
k6_steady_checks_rate,3,1.0,0.0,1.0,1.0
k6_steady_error_rate,3,0.0,0.0,0.0,0.0
k6_steady_http_requests,3,11392.333333333334,399.6502637723805,10936.0,11680.0
k6_steady_latency_p50_ms,3,48.011028,2.165376982238827,46.487271500000006,50.489729499999996
k6_steady_latency_p95_ms,3,1020.3134948166667,10.262283237524361,1012.48472295,1031.9315945
k6_steady_latency_p99_ms,3,1334.78823442,19.695915524917552,1314.3020173999998,1353.58501305
k6_steady_rps,3,94.93611111111112,3.3304188647698325,91.13333333333334,97.33333333333333
k6_thresholds_passed,3,1.0,0.0,1.0,1.0
latency_p50_seconds,3,0.011151982281728102,0.0024930569724968344,0.009489968611162207,0.014018576498396123
latency_p95_seconds,3,0.3419408051253767,0.011032309760841132,0.3330602723662623,0.35429080993897033
latency_p99_seconds,3,0.4896717343127405,0.0059052767051799675,0.4860082201025516,0.49648408281731243
memory_bytes_per_rps,3,23853810.06874538,920322.2648101171,23143346.255964812,24893457.01672388
memory_working_set_bytes,3,2279842746.6497355,7949920.620897497,2274167767.3650794,2288929011.809524
postgres_cache_hit_ratio,3,0.9999224492815557,4.766884470684678e-05,0.9998674588548955,0.9999520321939718
postgres_connections,3,30.0,0.0,30.0,30.0
postgres_locks,3,13.333333333333334,2.309401076758503,12.0,16.0
redis_hit_ratio,3,0.0,0.0,0.0,0.0
redis_memory_bytes,3,3080432.0,70910.169200193,2998552.0,3121408.0
redis_ops_per_second,3,70.69209771998126,2.191385375879185,68.25689651262878,72.5051109330293
restarts,3,0.0,0.0,0.0,0.0
rps,3,95.66101792364937,3.323943133147785,91.94902139432783,98.36224354064143
rps_per_tenant,3,7.971751493637446,0.27699526109564854,7.662418449527319,8.196853628386785
running_pods,3,23.0,0.0,23.0,23.0
tenant_count,3,12.0,0.0,12.0,12.0
